tx	gene_id	d3_fw_1	d3_fw_2	d3_fw_3	d3_hw_1	d3_hw_2	d3_hw_3	d6_fw_1	d6_fw_2	d6_fw_3	d6_hw_1	d6_hw_2	d6_hw_3
HMEL008455g1.t1	HMEL008455g1	3.333	8.653	13.639	0	13.98	13.689	0	3.434	0	0	0	9.232
HMEL002157g1.t1	HMEL002157g1	1	0	0	0	0	0	0	0	0	0	0	0
HMEL002157g1.t2	HMEL002157g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL002159g2.t1	HMEL002159g2	0	0	0	0	0	0	0	0	0	0	4	1
HMEL002160g1.t1	HMEL002160g1	1	2	5	3	1	18	3	3	14	29	41	13
HMEL008465g3.t1	HMEL008465g3	36	31	25	43	28	18	6	8	6	11	4	12
HMEL008467g1.t1	HMEL008467g1	2502	2268	1082	3280	2267	1034	201	269	78	107	533	500
HMEL025046g1.t2	HMEL025046g1	4	0	0	0	4	0	0	1	0	2	0	3
HMEL025046g1.t1	HMEL025046g1	0	3	2	5	0	8	3	0	6	0	3	0
HMEL025040g1.t1	HMEL025040g1	0	0	0	0	0	0	0	2	0	3	0	0
HMEL025040g1.t2	HMEL025040g1	0	15	0	0	33	1	2	0	0	0	4	2
HMEL025038g2.t1	HMEL025038g2	0	5	0	4	4	0	0	0	1	4	0	2
HMEL025038g2.t2	HMEL025038g2	0	0	0	0	0	0	0	0	0	0	0	0
HMEL025038g2.t3	HMEL025038g2	0	0	0	0	0	1	0	1	0	0	8	0
HMEL035783g1.t1	HMEL035783g1	1233	781	314	1581	654	224	13	3	15	12	56	14
HMEL021952g2.t1	HMEL021952g2	3	6	1	10	2	3	0	1	5	5	0	4
HMEL035762g1.t1	HMEL035762g1	0	0	0	0	0	0	0	0	0	4	1	2
HMEL012223g1.t1	HMEL012223g1	0	0	3	0	0	0	2	7	0	2	8	16
HMEL012225g1.t1	HMEL012225g1	6	4	3	10	3	0	3	3	0	11	6	3
HMEL012730g1.t1	HMEL012730g1	1	0	0	3	0	0	0	1	1	0	0	2
HMEL035739g1.t1	HMEL035739g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL012735g1.t1	HMEL012735g1	1247	863	186	1430	995	228	76	255	57	72	188	508
HMEL007289-RA	HMEL007289-RA	245.005	862	2346	611.04	1016	2639	82.017	20.009	113.316	265.114	134	55.003
HMEL008814g1.t1	HMEL008814g1	55.009	54	7	55	41	22	0	9	1	9	16	11
HMEL008813g1.t1	HMEL008813g1	181	138	94	229	123	68	39	34	35	64	33	48
HMEL008812g1.t1	HMEL008812g1	1579	1741	943	2024	1783	819	172	220	147	183	251	338
HMEL015065g1.t1	HMEL015065g1	3	1	3	1	16	17	19	124	10	10	17	162
HMEL013473g1.t1	HMEL013473g1	0	0	0	0	1	0	0	0	0	0	0	0
HMEL013474g1.t1	HMEL013474g1	693	487	321	712	547	330	60	182	30	112	119	237
HMEL013475g1.t1	HMEL013475g1	3	4	0	7	7	1	0	1	0	2	1	0
HMEL013477g1.t1	HMEL013477g1	0	3	1	0	0	2	0	1	0	1	25	3
HMEL015057g2.t1	HMEL015057g2	0	0	1	0	2.005	0	3.16	2.191	0	3.071	13	0
HMEL006629g1.t1	HMEL006629g1	0	168.07	0	228.494	0	0	0	0	19	51	0	73.645
HMEL006629g1.t2	HMEL006629g1	316	81.93	0	156.506	97.118	128	0	45	0	0	0	0
HMEL006629g1.t3	HMEL006629g1	0	0	134	0	125.882	0	49	0	0	0	36	0
HMEL035514g1.t1	HMEL035514g1	1	0	0	1	0	0	0	0	0	0	0	0
HMEL035516g1.t1	HMEL035516g1	0	0	1	0	0	0	16	7	9	14	12	4
HMEL008775g1.t1	HMEL008775g1	53	4	1627	246	7	1296	324	736	192	204	972	1360
HMEL008775g2.t1	HMEL008775g2	4	6	5	7	5	6	18	22	10.043	37	9	39
HMEL008775g3.t1	HMEL008775g3	0	0	0	0	0	0	0	0	0	0	0	0
HMEL008781g1.t1	HMEL008781g1	6	23	5	19	18	4	6	14	7	12	27	26
HMEL002816g1.t1	HMEL002816g1	3	3	1	0	3	0	2	2	0	3	5	0
HMEL002817g1.t1	HMEL002817g1	1	0	0	1	1	0	0	0	0	3	1	0
HMEL035524g1.t1	HMEL035524g1	0	60	0	0	0	0	0	17	11	0	19	0
HMEL035524g1.t2	HMEL035524g1	43	0	30	62	46	18	8	0	0	15	0	19
HMEL002828g2.t1	HMEL002828g2	0	0	0	1	0	0	0	0	0	1	12	3
HMEL035528g1.t1	HMEL035528g1	197	170	117	262	151	114	27	21	20	45	79	47
HMEL008048g1.t1	HMEL008048g1	0	0	0	0	0	0	0	0	0	3	4	0
HMEL008048g2.t1	HMEL008048g2	0	0	0	0	0	0	0	0	1	0	9	1
HMEL008048g3.t1	HMEL008048g3	0	0	2	3	2	0	0	0	1	2	8	1
HMEL003976g1.t1	HMEL003976g1	0	0	0	0	0	1	2.077	0	0	3	9	0
HMEL035539g1.t1	HMEL035539g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL011850g1.t2	HMEL011850g1	0	0	0	3	0	0	2	0	0	0	0	0
HMEL011850g1.t3	HMEL011850g1	3	0	2	0	0	0	0	0	0	0	0	0
HMEL035545g1.t1	HMEL035545g1	0	0	0	0	0	0	0	0	1	3	0	2
HMEL012092g2.t1	HMEL012092g2	0	1	1	1	1	0	1	2	0	6	7	1
HMEL012092g1.t1	HMEL012092g1	0	0	0	1	2	0	1	0	0	3	1	1
HMEL012088g1.t1	HMEL012088g1	0	0	0	0	0	0	0	0	0	1	1	0
HMEL012087-RA	HMEL012087-RA	69	117	295	71	153	180	2	5	6	21	18	26
HMEL012084g1.t1	HMEL012084g1	0	0	0	0	0	0	0	2	0	3	4	4.018
HMEL012079g1.t1	HMEL012079g1	138	139	135	193	136	161	26	48	22	43	34	59
HMEL035552g1.t1	HMEL035552g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL035554g1.t1	HMEL035554g1	0	0	0	0	0	0	0	1	0	1	0	0
HMEL012077g1.t1	HMEL012077g1	19	24	17	21	19	10	4	5	0	5	2	6
HMEL007773g2.t1	HMEL007773g2	9	14	38	15	8	38	22	28	16	18	23	46
HMEL035557g1.t1	HMEL035557g1	3	0	1	0	1	1	0	0	2	10	6	4
HMEL035558g1.t1	HMEL035558g1	2	0	2	2	1	4	2	3	4	3	10	0
HMEL007774g1.t1	HMEL007774g1	20	26	39	16	12	14	0	6	5	4	15	11
HMEL033152g1.t1	HMEL033152g1	0	0	0	0	0	0	0	0	0	1	0	0
HMEL035560g1.t1	HMEL035560g1	0	0	0	0	0	0	2	1	1	4	9	5
HMEL008824g1.t1	HMEL008824g1	8	22	13.491	22	16.205	10	17.787	59	10.68	24	65.658	144.647
HMEL008819g1.t1	HMEL008819g1	1525.515	4755.66	3053.606	4019.596	6425.974	2173.457	868.273	312.579	541.012	533.859	1719.007	494.753
HMEL008819g1.t2	HMEL008819g1	1530.485	4756.34	3064.394	4017.404	6449.026	2186.543	855.727	291.421	557.988	502.141	1762.993	408.247
HMEL008818g1.t1	HMEL008818g1	2	1	0	5	8	2	1	4	3	2	1	2
HMEL022548g1.t1	HMEL022548g1	0	91.16	0	29.882	0	12.041	7.841	5.85	0	0	0	0
HMEL022548g1.t2	HMEL022548g1	15.643	0	10.376	0	114.023	0	0	0	3	4.716	48.235	19.985
HMEL016628-RA	HMEL016628-RA	7798	4111	7980	8363	5113	5898	950	1244	718	1005	1330	1862
HMEL035571g1.t1	HMEL035571g1	70	53	95	93	55	73	14	23	20	43	30	89
HMEL016632g1.t1	HMEL016632g1	116	152	74	200	164	75	19	35	21	40	26	59
HMEL016633g1.t1	HMEL016633g1	0	0	0	0	0	0	0	0	0	1	6	0
HMEL016639g1.t1	HMEL016639g1	68	64	36	87	60	39	19	56	32	66	48	82
HMEL035578g1.t1	HMEL035578g1	0	0	0	0	0	0	0	0	0	0	1	3
HMEL035580g1.t1	HMEL035580g1	17	16	4	12	9	6	5	8	3	5	7	18
HMEL016652g1.t1	HMEL016652g1	3138	2802	920	3805	2170	841	115	119	99	235	288	184
HMEL016653g1.t1	HMEL016653g1	0	0	0	0	0	0	0	0	0	0	4	0
HMEL016653g1.t3	HMEL016653g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL016654g1.t1	HMEL016654g1	0	0	2	3	0	0	0	1	4	0	13	0
HMEL016654g1.t2	HMEL016654g1	0	0	0	0	2	0	6	0	0	0	0	0
HMEL016654g1.t3	HMEL016654g1	0	2	0	0	0	1	0	0	0	6	0	1
HMEL016654g5.t2	HMEL016654g5	111.74	63.688	108	211.41	53	101.737	128.096	12	98	111.401	133.639	32
HMEL016654g5.t1	HMEL016654g5	2.26	2.312	0	12.59	0	9.263	5.904	0	0	9.599	2.361	0
HMEL016654g4.t1	HMEL016654g4	0	2	0	1	0	0	0	1	4	14	12	7
HMEL035582g1.t1	HMEL035582g1	84	89	95	132	90	110	10	19	12	14	37	36
HMEL006372g1.t1	HMEL006372g1	6	14	41	14	12	60	4	16	5	15	8	27
HMEL006377g1.t1	HMEL006377g1	33	22	68	61	31	60	4	23	5	25	81	52
HMEL006377g2.t1	HMEL006377g2	6.562	0	0	1.77	4.363	0	0	0	0	0	1.502	4.055
HMEL006377g2.t2	HMEL006377g2	0	0	0	0	0	4.178	0	0	0	0	0	0
HMEL006377g2.t3	HMEL006377g2	0	0	0	0	0	0	0	0	0	0	0	0
HMEL006377g2.t4	HMEL006377g2	16.438	13	19	14.23	10.637	21.822	9	14	3	3	16.498	16.945
HMEL006377g2.t5	HMEL006377g2	0	0	0	0	0	0	0	0	0	0	0	0
HMEL006379g1.t1	HMEL006379g1	22	1622	3032	165	3647	2473	380	32	355	1053	1118	76
HMEL006382g1.t1	HMEL006382g1	105	87	122	148	66	119	18	53	17	39	67	87
HMEL006384g1.t1	HMEL006384g1	455	365	215	638	407	210	27	42	24	47	58	86
HMEL006388g1.t1	HMEL006388g1	28	35	539	45	83	696	34	305	14	36	28	401
HMEL035590g1.t2	HMEL035590g1	0	0	0	0	0	0	0	1	0	0	1	1
HMEL035590g1.t1	HMEL035590g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL012071g2.t1	HMEL012071g2	0	0	0	1	1	0	0	4	1	4	16	0
HMEL012071g3.t1	HMEL012071g3	0	0	0	0	0	0	0	0	0	0	0	0
HMEL012071g4.t1	HMEL012071g4	1	0	0	1	0	0	0	0	0	0	0	0
HMEL007232g1.t1	HMEL007232g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL007232g1.t2	HMEL007232g1	0	0	0	0	0	0	1	0	0	0	6	0
HMEL007233g1.t1	HMEL007233g1	3	0	0	2	5	0	3	0	0	10	56	1.667
HMEL007233g1.t2	HMEL007233g1	0	0	0	0	0	0	0	6	5	0	0	12.333
HMEL007237g1.t1	HMEL007237g1	8157	8007	4099	10867	7744	3650	963	1090	519	663	2302	2078.972
HMEL007238g1.t1	HMEL007238g1	14	6	5	9	8	16	5	11	14	14	9	31
HMEL004821g1.t1	HMEL004821g1	644	1411	375	1523	1931	220	840	389	347	1275	97	254.999
HMEL035614g1.t1	HMEL035614g1	0	1	0	0	0	0	0	0	0	0	0	2
HMEL035613g1.t1	HMEL035613g1	0	0	0	1	1	0	1	0	0	1	0	0
HMEL035612g1.t1	HMEL035612g1	5	3	3	6	3	1	16	6	14.921	16	13	25
HMEL008789g3.t1	HMEL008789g3	258	379	130	575	585	65	12	65	19	33	78.934	154
HMEL008789g2.t1	HMEL008789g2	0	0	0	0	0	0	0	0	0	0	0	0
HMEL008789g1.t1	HMEL008789g1	0	0	0	1	0	1	0	0	0	8	4	1
HMEL008790g1.t1	HMEL008790g1	5	11	7	13	7	0	1	2	0	3	2	5
HMEL008794g1.t1	HMEL008794g1	0	0	0	0	0	0	1	0	0	2	9	4
HMEL008795g1.t1	HMEL008795g1	4	8	1	7	0	0	0	0	0	1	3	0
HMEL008795g1.t2	HMEL008795g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL008795g1.t3	HMEL008795g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL035607g1.t1	HMEL035607g1	0	0	0	0	0	0	2	0	1	0	5	7
HMEL035606g1.t1	HMEL035606g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL035604g1.t1	HMEL035604g1	9	6	7	8	8	10	16	6	13	30	39	19
HMEL017949g2.t1	HMEL017949g2	0	0	0	0	0	0	0	0	0	0	0	0
HMEL017949g2.t2	HMEL017949g2	7	8	12	16	8	6	78	32	37	124	27	45
HMEL017949g1.t1	HMEL017949g1	0	0	0	0	0	0	0	0	0	4	4	1
HMEL017938g1.t1	HMEL017938g1	0	0	1	1	0	0	0	0	0	0	1	0
HMEL017937g1.t1	HMEL017937g1	0	0	0	0	0	0	0	0	0	0	27	0
HMEL017936g1.t1	HMEL017936g1	0	1	2	7	0	4	0	0	0	0	0	0
HMEL017936g1.t2	HMEL017936g1	0	0	0	0	1	0	0	2	0	5	0	0
HMEL017935g1.t1	HMEL017935g1	0	0	0	0	0	0	0	0	0	7	1	0
HMEL013530g1.t1	HMEL013530g1	304	292	94	412	214	117	14	17	12	24	66	38
HMEL013531g1.t2	HMEL013531g1	18.192	5.806	8.097	11.262	5.78	13.901	7.711	7.295	6.138	21.406	14.182	19.045
HMEL013531g1.t1	HMEL013531g1	22.574	15.194	4.903	23.613	7.22	5.948	3.896	2.964	1.862	0	9.148	2.589
HMEL011021g1.t1	HMEL011021g1	0	0	0	0	0	0	1	1	2	1	4	1
HMEL035438g1.t1	HMEL035438g1	215	113	175	200	120	215	577	444	448	619	422	466.991
HMEL011029g4.t1	HMEL011029g4	2	1	0	5	9	0	1	4	2	20	6	5
HMEL011029g2.t1	HMEL011029g2	17	153.467	19.268	61.047	608.442	18	33	21.648	50	130	311	190.569
HMEL011029g2.t2	HMEL011029g2	0	12.533	1.732	5.953	36.558	0	0	5.352	0	0	0	14.431
HMEL011041g1.t1	HMEL011041g1	95	105	111	261	151	110	19	7	21	24	51	25
HMEL011048g1.t1	HMEL011048g1	6957	6375.728	4868	9534	6789	4375	799.452	899.596	409.094	745.704	1477	1440.185
HMEL014081g3.t1	HMEL014081g3	115	93	46	142	95	38	11	21	13	8	35	50
HMEL014078g1.t1	HMEL014078g1	50	47	65	87	42	37	119	26	105	125	245	44
HMEL009137g3.t1	HMEL009137g3	14.423	41.498	0	43.787	34.761	0	0	0	0	0	0	0
HMEL014025g1.t1	HMEL014025g1	505	245	298	422	224	234	36	36	59	153	101.009	33
HMEL033148g1.t1	HMEL033148g1	40	31	47	61	38	66	5	13	3	16	3	12
HMEL014746g1.t1	HMEL014746g1	0	3	0	0	2	0	2	0	1	1	5	1
HMEL014744g1.t1	HMEL014744g1	38	29	48	61	22	51	31	3	32	39	45	3
HMEL014742g1.t1	HMEL014742g1	0	0	0	0	0	0	0	0	0	1	1	2
HMEL013099g1.t1	HMEL013099g1	1	2	0	3	0	0	0	3	1	5	20	8
HMEL013089g1.t1	HMEL013089g1	0	0	0	1	1	0	2	0	0	1	0	1
HMEL034059g1.t1	HMEL034059g1	5	5	0	8	12	0	1	3	1	0	11	14
HMEL012845g1.t1	HMEL012845g1	2	0	0	0	2	0	0	0	0	0	0	0
HMEL012845g1.t2	HMEL012845g1	0	0	0	1	0	0	0	0	0	0	0	0
HMEL013433g2.t1	HMEL013433g2	28	30	1	20	26	1	3	114	1	1	0	242
HMEL013433g1.t1	HMEL013433g1	3	1	0	1	1	0	0	5	3	3	2	4
HMEL006986g1.t1	HMEL006986g1	1201	1340	684	1523	1272	623	101	164	105	234	131	284
HMEL006987g1.t1	HMEL006987g1	40	40	21	40	38	14	5	12	3	15	9	16
HMEL006990g1.t1	HMEL006990g1	620	1195	1066	1255	1351	721	527	744	512	636	1283	1139
HMEL006993g1.t1	HMEL006993g1	24	10	24	24	20	9	10	9	15	14	14	15
HMEL004716g1.t1	HMEL004716g1	19168	36788	20184	35065	36279	18621	5227	3162	2356	2796	10431	5538
HMEL033121g1.t1	HMEL033121g1	581	422	370	787	420	335	137	199	172	359	264	269
HMEL004713g1.t1	HMEL004713g1	2074	4859	2128	3167	3620	2095	354	874	241	486	759	1315
HMEL014798g2.t1	HMEL014798g2	59.575	194.088	44.176	128.931	258.568	32.119	4.738	5.178	2.697	0	10.237	27.517
HMEL033113g1.t1	HMEL033113g1	0	0	0	0	0	0	0	0	0	1	0	0
HMEL010920g1.t1	HMEL010920g1	85	26	7	60	22	9	6	5	3	6	6	4
HMEL033111g1.t1	HMEL033111g1	106	90	28	144	107	43	11	35	14	25	39	68
HMEL010924g1.t1	HMEL010924g1	236	247	121	326	238	71	44	127	21	44.201	99.964	189
HMEL033110g1.t1	HMEL033110g1	0	0	0	0	0	0	0	0	0	3	0	0
HMEL033109g1.t1	HMEL033109g1	0	0	0	0	0	0	0	2	2	2	5	4
HMEL002401g2.t1	HMEL002401g2	0	0	0	0	0	0	1	1	0	1	0	4
HMEL006321g1.t1	HMEL006321g1	67	67	20	92	46	14	15	9	9	11	29	29
HMEL033106g1.t1	HMEL033106g1	169	124	42	196	143	49	99	81	72.286	149	119	104
HMEL016492g1.t1	HMEL016492g1	952	1113	912	1224	1235	855	88	205	76	158	169	321
HMEL033104g1.t1	HMEL033104g1	249	358	513	392.97	705.154	439	149.274	221.849	108.35	277.005	668.886	561.111
HMEL033104g1.t2	HMEL033104g1	0	0	0	0	4.846	0	0	0	0	0	0	0
HMEL033099g1.t2	HMEL033099g1	178.477	172.35	115.525	224.411	159.193	58.811	16.028	139.837	9.661	2.172	0	113.818
HMEL033099g1.t1	HMEL033099g1	167.523	179.65	73.475	355.589	165.807	60.189	39.972	190.891	9.339	77.828	155	301.182
HMEL002740g1.t1	HMEL002740g1	1	0	0	6	6	0	3	2	1	10	18	5
HMEL002583g1.t1	HMEL002583g1	664	506	605	661	448	639	88	46	88	194	154	103
